2025-07-16 23:07:26,971 - INFO - 出力ディレクトリ構造を作成: /mnt/nfs1/home/yamamoto-hiroto/research/vertebrae_saka/Sakaguchi_file/YOLO_datasets/vertebrae_fracture
2025-07-16 23:07:26,971 - INFO - NIfTI → YOLO形式変換開始
2025-07-16 23:07:26,972 - INFO - trainデータセットを処理中...
2025-07-16 23:08:34,547 - INFO - 処理済み: 27500, 成功: 27500
2025-07-16 23:08:34,777 - INFO - 処理済み: 27600, 成功: 27600
2025-07-16 23:08:35,013 - INFO - 処理済み: 27700, 成功: 27700
2025-07-16 23:08:35,258 - INFO - 処理済み: 27800, 成功: 27800
2025-07-16 23:08:35,488 - INFO - 処理済み: 27900, 成功: 27900
2025-07-16 23:08:35,871 - INFO - 処理済み: 28000, 成功: 28000
2025-07-16 23:08:36,180 - INFO - 処理済み: 28100, 成功: 28100
2025-07-16 23:08:36,400 - INFO - 処理済み: 28200, 成功: 28200
2025-07-16 23:08:36,630 - INFO - 処理済み: 28300, 成功: 28300
2025-07-16 23:08:36,853 - INFO - 処理済み: 28400, 成功: 28400
2025-07-16 23:08:37,074 - INFO - 処理済み: 28500, 成功: 28500
2025-07-16 23:08:37,296 - INFO - 処理済み: 28600, 成功: 28600
2025-07-16 23:08:37,618 - INFO - 処理済み: 28700, 成功: 28700
2025-07-16 23:08:37,989 - INFO - 処理済み: 28800, 成功: 28800
2025-07-16 23:08:38,199 - INFO - 処理済み: 28900, 成功: 28900
2025-07-16 23:08:38,409 - INFO - 処理済み: 29000, 成功: 29000
2025-07-16 23:08:38,614 - INFO - 処理済み: 29100, 成功: 29100
2025-07-16 23:08:38,828 - INFO - 処理済み: 29200, 成功: 29200
2025-07-16 23:08:39,030 - INFO - 処理済み: 29300, 成功: 29300
2025-07-16 23:08:39,243 - INFO - 処理済み: 29400, 成功: 29400
2025-07-16 23:08:39,450 - INFO - 処理済み: 29500, 成功: 29500
2025-07-16 23:08:39,836 - INFO - 処理済み: 29600, 成功: 29600
2025-07-16 23:08:40,046 - INFO - 処理済み: 29700, 成功: 29700
2025-07-16 23:08:40,262 - INFO - 処理済み: 29800, 成功: 29800
2025-07-16 23:08:40,479 - INFO - 処理済み: 29900, 成功: 29900
2025-07-16 23:08:40,706 - INFO - 処理済み: 30000, 成功: 30000
2025-07-16 23:08:40,931 - INFO - 処理済み: 30100, 成功: 30100
2025-07-16 23:08:41,214 - INFO - 処理済み: 30200, 成功: 30200
2025-07-16 23:08:41,591 - INFO - 処理済み: 30300, 成功: 30300
2025-07-16 23:08:41,841 - INFO - 処理済み: 30400, 成功: 30400
2025-07-16 23:08:42,049 - INFO - 処理済み: 30500, 成功: 30500
2025-07-16 23:08:42,265 - INFO - 処理済み: 30600, 成功: 30600
2025-07-16 23:08:42,486 - INFO - 処理済み: 30700, 成功: 30700
2025-07-16 23:08:42,701 - INFO - 処理済み: 30800, 成功: 30800
2025-07-16 23:08:42,907 - INFO - 処理済み: 30900, 成功: 30900
2025-07-16 23:08:43,108 - INFO - 処理済み: 31000, 成功: 31000
2025-07-16 23:08:43,327 - INFO - 処理済み: 31100, 成功: 31100
2025-07-16 23:08:43,812 - INFO - 処理済み: 31200, 成功: 31200
2025-07-16 23:08:44,015 - INFO - 処理済み: 31300, 成功: 31300
2025-07-16 23:08:44,205 - INFO - 処理済み: 31400, 成功: 31400
2025-07-16 23:08:44,424 - INFO - 処理済み: 31500, 成功: 31500
2025-07-16 23:08:44,614 - INFO - 処理済み: 31600, 成功: 31600
2025-07-16 23:08:44,822 - INFO - 処理済み: 31700, 成功: 31700
2025-07-16 23:08:45,022 - INFO - 処理済み: 31800, 成功: 31800
2025-07-16 23:08:45,202 - INFO - 処理済み: 31900, 成功: 31900
2025-07-16 23:08:45,398 - INFO - 処理済み: 32000, 成功: 32000
2025-07-16 23:08:45,590 - INFO - 処理済み: 32100, 成功: 32100
2025-07-16 23:08:45,774 - INFO - 処理済み: 32200, 成功: 32200
2025-07-16 23:08:46,210 - INFO - 処理済み: 32300, 成功: 32300
2025-07-16 23:08:46,406 - INFO - 処理済み: 32400, 成功: 32400
2025-07-16 23:08:46,616 - INFO - 処理済み: 32500, 成功: 32500
2025-07-16 23:08:46,808 - INFO - 処理済み: 32600, 成功: 32600
2025-07-16 23:08:47,023 - INFO - 処理済み: 32700, 成功: 32700
2025-07-16 23:08:47,225 - INFO - 処理済み: 32800, 成功: 32800
2025-07-16 23:08:47,435 - INFO - 処理済み: 32900, 成功: 32900
2025-07-16 23:08:47,638 - INFO - 処理済み: 33000, 成功: 33000
2025-07-16 23:08:47,856 - INFO - 処理済み: 33100, 成功: 33100
2025-07-16 23:08:48,240 - INFO - 処理済み: 33200, 成功: 33200
2025-07-16 23:08:48,439 - INFO - 処理済み: 33300, 成功: 33300
2025-07-16 23:08:48,656 - INFO - 処理済み: 33400, 成功: 33400
2025-07-16 23:08:48,864 - INFO - 処理済み: 33500, 成功: 33500
2025-07-16 23:08:49,085 - INFO - 処理済み: 33600, 成功: 33600
2025-07-16 23:08:49,278 - INFO - 処理済み: 33700, 成功: 33700
2025-07-16 23:08:49,485 - INFO - 処理済み: 33800, 成功: 33800
2025-07-16 23:08:49,703 - INFO - 処理済み: 33900, 成功: 33900
2025-07-16 23:08:49,918 - INFO - 処理済み: 34000, 成功: 34000
